,episode no.,speaker,dialouge
425,2,Summer,  yeah total let us go
426,2,Snuffles,  walk time walk
427,2,Rick,  incept tri incept-
428,2,Morty,"  tri incept get "" "" math"
429,2,Rick,  oh yeah
430,2,Scary Terry,  buckl bitch
431,2,Morty,  ooooooaaahhh
432,2,Morty,"  man sure say "" bitch "" lot"
433,2,Scary Terry,  run hide bitch
434,2,Rick,  hold morty know keep say run hide say tri hide
435,2,Morty,  opposit what-
436,2,Rick,  yeah well sinc take guy ’s advic anyth
437,2,Morty,  hey know got realli good point rick like truth could hide like would share inform us know think good idea rick
438,2,Rick,  worst case scenario back run
439,2,Morty,  wow know mean look like could hid whole time boy rick good think
440,2,Rick,  thank morty yeah nice page everi
441,2,Scary Terry,  run hide yawn
442,2,Rick,  oh perfect morty look get sleepi littl bit longer call day make move
443,2,Jerry,  snuffles mean harm huge misunderstand
444,2,Summer,  dad want call snowball
445,2,Jerry,  well ’m call ridicul
446,2,Snuffles,  aggress jerry perhap tomorrow dr scrap solv problem bit surgeri
447,2,Jerry,  huh think control haircut
448,2,Scary Melissa,  hi honey home earli day
449,2,Scary Terry,  want talk
450,2,Scary Melissa,  oh cours never want talk
451,2,Scary Terry,  get back bitch
452,2,Scary Melissa, 
453,2,Scary Terry,  yeah know know take anger scari brandon love melissa
454,2,Scary Melissa,  love terry
455,2,Rick,  morty perfect littl scari coitu fast asleep ’ll incept
456,2,Rick,  look like scari terri ’s nightmar
457,2,Morty,  oh boy rick imagin horribl thing must know scare scari terri
458,2,Scary Terry,  oh ’m late class bitch oh ’m wear pant
459,2,Monster Teacher,  ah well mr terry tell whole class proper wordplay use one chase one ’s victim pumpkin patch
460,2,Scary Terry,"  oh uh um "" bitch """
461,2,"Monster Teacher: Oh, come on, Terry, you can't think of a pun involving pumpkins, bitch? Morty",  hey leav alon
462,2,Rick,  yeah bunch bullcrap care stupid pun make kill someon let poor guy say whatev want
463,2,Monster Teacher,  well never see reason stand take
464,2,Rick,  put much pressur scari terri know mean perfectli scari enough
465,2,Morty,  hey yo scary t. even trip pant dawg pair us fool
466,2,Scary Terry,  aww bitch know say
467,2,Morty,  need say anyth got dawg
468,2,Rick,  boy dawg even trip
469,2,Scary Terry,  oh hey guy
470,2,Scary Melissa,  seen relax year
471,2,Scary Terry,  guy ever need anyth say word
472,2,Rick,  matter fact terry someth could help us
473,2,Little Girl,"’ "" q "" "" r "" get far"
474,2,Scary Terry,  alway hate song
475,2,Scary Terry,  halv belong togeth bitch
476,2,Scary Terry,  sex sacr
477,2,Scary Terry,  give morty smith good grade bitch
478,2,Mr. Goldenfold,"  holi crap god damn know one thing sure ’m give morty "" "" math idea origin thought"
479,2,Morty,  hell
480,2,Rick,  fri pan dot dot dot huh morty
481,2,Morty,  oh man go
482,2,Rick,  well possibl dog becam self awar made modif cognit amplifi turn jerry beth summer learn human ’s cruel subjug speci guess good mine morty
483,2,Jerry,  believ mean snuffles got smart
484,2,Summer,  choos get c ’s
485,2,Rick,  psst beth jerry summer
486,2,Morty,dad rick oh thank god morty oh welcom right let us get
487,2,Rick,  hurri set camp sewer tunnel someth dog complet take
488,2,Jerry,  whoa whoa whoa go anywher hous ’m abandon
489,2,Rick,  jerry dog path total world domin hey least know piss carpet right
490,2,Jerry,  wait minut idea gentlemen moment time jerry pee pile gun see ’m pee special gun mean
491,2,Snuffles,  bad person bad
492,2,Rick,  ooh great plan jerry
493,2,Snuffles,  bring boy alway kind morty leav testicl best friend live side
494,2,Morty,  th thank snuffles
495,2,Snuffles,  begin phase two
496,2,Reporter,  fight continu dog armi captur eastern seaboard appear clear time era human superior come bitter end two dog come news room muzzlepleas pleas kill
497,2,Dog 1,  say bill
498,2,Bill,"  think say "" love lasagna"
499,2,Morty,  mmm thank fido rick thought dead
